,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
1,Aaronsohnia,,,,Warburg et Eig
5,Aaronsohnia,factorovskyi,,,Warb. et Eig in Eig
11,Acantholepis,,,,Less.'
13,Acantholepis,orientalis,,,Less.
15,Acantholimon,,,,Boiss.
17,Acantholimon,acerosum,,,(Willd.) Boiss.
20,Acantholimon,agropyroideum,,,Mobayen
22,Acantholimon,androsaceum,,,(Jaub. et Spach) Boiss.
27,Acantholimon,antilibanoticum,,,Mout.
29,Acantholimon,baltanense,,,Boiss. et Hausskn.
33,Acantholimon,damassanum,,,Mobayen
35,Acantholimon,echinus,,,auct.
37,Acantholimon,laxiflorum,,,Boiss. ex Bunge
41,Acantholimon,libanoticum,,,Boiss.
44,Acantholimon,libanoticum,var.,ulicinum,(Willd.) Boiss.
47,Acantholimon,ulicinum,,,(Schultes) Boiss.
50,Acanthus,,,,L.
52,Acanthus,dioscoridis,,,L.
54,Acanthus,mollis,,,L.
56,Acanthus,raddei,,,Trautv.
58,Acanthus,syriacus,,,Boiss.
60,Achillea,,,,L.
62,Achillea,aleppica,,,DC.
65,Achillea,aleppica,subsp.,aleppica,
66,Achillea,argentea,,,Lam.
68,Achillea,biebersteinii,,,Afan.
70,Achillea,conferta,,,DC.
72,Achillea,damascena,,,DC.
74,Achillea,eriophora,,,auct. non DC.
78,Achillea,falcata,,,L.
80,Achillea,fragrantissima,,,(Forssk.) Schultz Bip.
84,Achillea,gossypina,,,Hand.-Mazz.
86,Achillea,imbricata,,,DC.
88,Achillea,kotschyi,,,Boiss.
90,Achillea,Krascheninnikovii,,,Afan.
92,Achillea,membranacea,,,(Labili.). DC.
95,Achillea,membranacea,,,Rech. fil. non (Labili.) DC.
101,Achillea,micrantha,,,Willd. non Willd.
105,Achillea,odorata,,,W. Koch
109,Achillea,odorata,subsp.,kotschyi,(Boiss.) Bornm.
113,Achillea,odorata,var.,grata,Fenzl
115,Achillea,oligocephala,,,DC. A AO OQQ oyy
121,Achillea,santohna,,,"auct. mult, non L."
