,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
0,Aaronsohnia,,,,Warburg et Eig
4,Aaronsohnia,factorovskyi,,,Warb. et Eig in Eig
10,Acantholepis,,,,Less.'
12,Acantholepis,orientalis,,,Less.
14,Acantholimon,,,,Boiss.
16,Acantholimon,acerosum,,,(Willd.) Boiss.
19,Acantholimon,agropyroideum,,,Mobayen
21,Acantholimon,androsaceum,,,(Jaub. et Spach) Boiss.
26,Acantholimon,antilibanoticum,,,Mout.
28,Acantholimon,baltanense,,,Boiss. et Hausskn.
32,Acantholimon,damassanum,,,Mobayen
34,Acantholimon,echinus,,,auct.
36,Acantholimon,laxiflorum,,,Boiss. ex Bunge
40,Acantholimon,libanoticum,,,Boiss.
43,Acantholimon,libanoticum,var.,ulicinum,(Willd.) Boiss.
46,Acantholimon,ulicinum,,,(Schultes) Boiss.
49,Acanthus,,,,L.
51,Acanthus,dioscoridis,,,L.
53,Acanthus,mollis,,,L.
55,Acanthus,raddei,,,Trautv.
57,Acanthus,syriacus,,,Boiss.
59,Achillea,,,,L.
61,Achillea,aleppica,,,DC.
64,Achillea,aleppica,subsp.,aleppica,
65,Achillea,argentea,,,Lam.
67,Achillea,biebersteinii,,,Afan.
69,Achillea,conferta,,,DC.
71,Achillea,damascena,,,DC.
73,Achillea,eriophora,,,auct. non DC.
77,Achillea,falcata,,,L.
79,Achillea,fragrantissima,,,(Forssk.) Schultz Bip.
83,Achillea,gossypina,,,Hand.-Mazz.
85,Achillea,imbricata,,,DC.
87,Achillea,kotschyi,,,Boiss.
89,Achillea,Krascheninnikovii,,,Afan.
91,Achillea,membranacea,,,(Labili.). DC.
94,Achillea,membranacea,,,Rech. fil. non (Labili.) DC.
100,Achillea,micrantha,,,Willd. non Willd.
104,Achillea,odorata,,,W. Koch
108,Achillea,odorata,subsp.,kotschyi,(Boiss.) Bornm.
112,Achillea,odorata,var.,grata,Fenzl
114,Achillea,oligocephala,,,DC. A
117,Achillea,santohna,,,"auct. mult, non L."
122,Achillea,sulphurea,,,Boiss.
124,Achillea,teretifolia,,,Ledeb. non Willd.
128,Achillea,urumoffii,,,Hal.
130,Achillea,wilhelmsii,,,C. Koch
133,Acinos,,,,Miller
135,Acinos,rotundifolius,,,Pers. non Friv. nee Host
141,Aetheorhiza,,,,Cass.
143,Aetheorhiza,bulbosa,,,(L.) Cass.
146,Ajuga,,,,L.
148,Ajuga,chamaepitys,,,(L.) Schreb.
151,Ajuga,chasmophila,,,Davis
153,Ajuga,chia,,,Schreb.
156,Ajuga,chia,var.,suffrutescens,Boiss.
159,Ajuga,chia,var.,tridactylites,(Benth.) Boiss.
162,Ajuga,glabra,,,sensu Benth. non C. Presl
168,Ajuga,laevigata,,,Boiss.
170,Ajuga,orientalis,,,L.
172,Ajuga,palaestina,,,Boiss.
174,Ajuga,rechingeri,,,Bilik
176,Ajuga,tridactylites,,,Gingins ex Benth.
180,Ajuga,vestita,,,Boiss.
182,Alkanna,,,,Tausch
184,Alkanna,auranitica,,,Mouterde
186,Alkanna,confusa,,,Sam. ex Rech. fil.
191,Alkanna,galilaea,,,Boiss.
193,Alkanna,hirsutissima,,,(Bertol.) A. DC.
197,Alkanna,kotschyana,,,DC.
199,Alkanna,leiocarpa,,,Rech. fil.
202,Alkanna,maleolens,,,Bornm.
204,Alkanna,macrophylla,,,auct.
206,Alkanna,macrophylla,,,Boiss. et Heldr.
210,Alkanna,orientalis,,,(L.) Boiss.
214,Alkanna,orientalis,subsp.,integrifolia,(Post) Mout.
218,Alkanna,orientalis,var.,integrifolia,Post
220,Alkanna,prasinophylla,,,Rech. fil.
223,Alkanna,strigosa,,,Boiss. et Hohen.
227,Alkanna,syriaca,,,Boiss.
229,Alkanna,tinctoria,,,Tausch
231,Amaracus,,,,Hill
233,Amaracus,libanoticus,,,(Boiss.) Briq.
236,Ambrosia,,,,L.
238,Ambrosia,maritima,,,L.
240,Anacyclus,,,,L.
242,Anacyclus,clavatus,,,(Desf.) Pers.
245,Anacyclus,nigellifolius,,,Boiss.
247,Anacyclus,radiatus,,,Loisel.
249,Anagallis,,,,L.
251,Anagallis,arvensis,,,L.
254,Anagallis,arvensis,var.,arvensis,
256,Anagallis,arvensis,var.,caerulea,(L.) Gouan
259,Anagallis,caerulea,,,L.
261,Anagallis,latifolia,,,L.
263,Anagallis,phoenicea,,,Scop.
265,Anarrhinum,,,,Desf.
267,Anarrhinum,orientale,,,Benth.
269,Anchusa,,,,L.
271,Anchusa,aegyptiaca,,,(L.) DC.
274,Anchusa,aggregata,,,Lehm.
276,Anchusa,azurea,,,Mill.
278,Anchusa,aucheri,,,A. DC.
281,Anchusa,barrelieri,,,(AH.) Vitm.
284,Anchusa,dinsmorei,,,Rech. f.
287,Anchusa,hispida,,,Forssk.
289,Anchusa,hybrida,,,Ten.
291,Anchusa,italica,,,Retz
293,Anchusa,milleri,,,Willd.
295,Anchusa,neglecta,,,A. DC.
298,Anchusa,orientalis,,,L.
300,Anchusa,palmyrensis,,,Post
302,Anchusa,spinocarpos,,,Forssk.
304,Anchusa,strigosa,,,Labili.
307,Anchusa,strigosa,var.,mesopotamica,Post
309,Anchusa,tiberiadis,,,Post
311,Anchusa,ventricosa,,,Sra.
313,Androsace,,,,L.
315,Androsace,maxima,,,L.
317,Androsace,multiscapa,,,Duby
319,Androsace,villosa,,,L.
321,Andryala,,,,L.
323,Andryala,dentata,,,Sibth. et Sm.
327,Andryala,integrifolia,,,L.
329,Anoplanthus,,,,Endl.
331,Anoplanthus,coccineus,,,(M. Bieb.) Walp.
335,Anthémis,,,,L.
337,Anthémis,aaronsohnii,,,Eig
339,Anthémis,alexandrettae,,,Eig
341,Anthémis,altissima,,,L.
343,Anthémis,amblyolepis,,,Eig
345,Anthémis,antilibanotica,,,Eig
347,Anthémis,austriaca,,,Jacq.
349,Anthémis,blancheana,,,Boiss.
352,Anthémis,blancheana,var.,coronifera,Eig
354,Anthémis,bornmălleri,,,Stoj. et Acht.
358,Anthémis,breviradiata,,,Eig
360,Anthémis,cassia,,,Boiss.
362,Anthémis,chia,,,L.
364,Anthémis,clavata,,,Desf.
366,Anthémis,coelopoda,,,Boiss.
369,Anthémis,coelopoda,var.,bourgaei,Boiss.
371,Anthémis,cornucopiae,,,Boiss. Î
374,Anthémis,corymbulosa,,,Boiss.
376,Anthémis,cota,,,L.
378,Anthémis,cotula,,,L.
380,Anthémis,eretica,,,L.
383,Anthémis,eretica,subsp.,cassia,(Boiss.) Grierson
387,Anthémis,eretica,var.,discoidea,Post
389,Anthémis,deltawensis,,,Eig
391,Anthémis,deserti-syriaci,,,Eig
393,Anthémis,didymaea,,,Mouterde
395,Anthémis,discoidea,,,(All.) Willd.
398,Anthémis,emasensis,,,Eig
400,Anthémis,halophila,,,Boiss. et Bal.
404,Anthémis,haussknechtii,,,Boiss. et Reut.
408,Anthémis,hebronica,,,Boiss. et Ky.
412,Anthémis,hermonis,,,Eig
414,Anthémis,hyalina,,,DC.
416,Anthémis,leucanthemifolia,,,Boiss. et Bl.
420,Anthémis,leucolepis,,,Eig
422,Anthémis,libanotica,,,DC.
424,Anthémis,lyonnetioides,,,Boiss.
426,Anthémis,melanolepis,,,Boiss.
428,Anthémis,melanolepis,,,sensu Eig non Boiss.
433,Anthémis,membranacea,,,Labili.
435,Anthémis,mixta,,,L.
437,Anthémis,palestina,,,Reut. in Boiss.
441,Anthémis,palestina,,,Reuter p.p. in Boiss.
446,Anthémis,patentissima,,,Eig
448,Anthémis,pauciloba,,,Boiss.
450,Anthémis,philistea,,,Boiss.
452,Anthémis,pseudocotula,,,Boiss.
454,Anthémis,rascheyana,,,Boiss.
456,Anthémis,rotata,,,Boiss.
458,Anthémis,samuelssonii,,,Rech. fii.
461,Anthémis,scariosa,,,Banks et Sol.
465,Anthémis,secundiramea,,,Biv.
468,Anthémis,secundiramea,var.,urvilleana,DC.
470,Anthémis,syriaca,,,Bornm.
472,Anthémis,tinctoria,,,L.
