,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
11,Acantholepis,,,,Less.'
13,Acantholepis,orientalis,,,Less.
15,Acantholimon,,,,Boiss.
17,Acantholimon,acerosum,,,(Willd.) Boiss.
27,Acantholimon,antilibanoticum,,,Mout.
33,Acantholimon,damassanum,,,Mobayen
41,Acantholimon,libanoticum,,,Boiss.
47,Acantholimon,ulicinum,,,(Schultes) Boiss.
50,Acanthus,,,,L.
52,Acanthus,dioscoridis,,,L.
54,Acanthus,mollis,,,L.
58,Acanthus,syriacus,,,Boiss.
60,Achillea,,,,L.
62,Achillea,aleppica,,,DC.
65,Achillea,aleppica,subsp.,aleppica,
68,Achillea,biebersteinii,,,Afan.
70,Achillea,conferta,,,DC.
78,Achillea,falcata,,,L.
80,Achillea,fragrantissima,,,(Forssk.) Schultz Bip.
88,Achillea,kotschyi,,,Boiss.
92,Achillea,membranacea,,,(Labili.). DC.
115,Achillea,oligocephala,,,DC. A AO OQQ oyy
134,Achillea,wilhelmsii,,,C. Koch
145,Aetheorhiza,,,,Cass.
147,Aetheorhiza,bulbosa,,,(L.) Cass.
150,Ajuga,,,,L.
155,Ajuga,chasmophila,,,Davis
157,Ajuga,chia,,,Schreb.
172,Ajuga,laevigata,,,Boiss.
174,Ajuga,orientalis,,,L.
178,Ajuga,rechingeri,,,Bilik
180,Ajuga,tridactylites,,,Gingins ex Benth.
186,Alkanna,,,,Tausch
190,Alkanna,confusa,,,Sam. ex Rech. fil.
195,Alkanna,galilaea,,,Boiss.
197,Alkanna,hirsutissima,,,(Bertol.) A. DC.
201,Alkanna,kotschyana,,,DC.
203,Alkanna,leiocarpa,,,Rech. fil.
206,Alkanna,maleolens,,,Bornm.
214,Alkanna,orientalis,,,(L.) Boiss.
218,Alkanna,orientalis,subsp.,integrifolia,(Post) Mout.
224,Alkanna,prasinophylla,,,Rech. fil.
227,Alkanna,strigosa,,,Boiss. et Hohen.
233,Alkanna,tinctoria,,,Tausch
240,Ambrosia,,,,L.
242,Ambrosia,maritima,,,L.
244,Anacyclus,,,,L.
246,Anacyclus,clavatus,,,(Desf.) Pers. NOUVELLE
250,Anacyclus,nigellifolius,,,Boiss.
252,Anacyclus,radiatus,,,Loisel.
254,Anagallis,,,,L.
256,Anagallis,arvensis,,,L.
270,Anarrhinum,,,,Desf.
272,Anarrhinum,orientale,,,Benth.
274,Anchusa,,,,L.
276,Anchusa,aegyptiaca,,,(L.) DC.
