,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
10,Acantholepis,,,,Less.'
12,Acantholepis,orientalis,,,Less.
14,Acantholimon,,,,Boiss.
16,Acantholimon,acerosum,,,(Willd.) Boiss.
26,Acantholimon,antilibanoticum,,,Mout.
32,Acantholimon,damassanum,,,Mobayen
40,Acantholimon,libanoticum,,,Boiss.
46,Acantholimon,ulicinum,,,(Schultes) Boiss.
49,Acanthus,,,,L.
51,Acanthus,dioscoridis,,,L.
53,Acanthus,mollis,,,L.
57,Acanthus,syriacus,,,Boiss.
59,Achillea,,,,L.
61,Achillea,aleppica,,,DC.
64,Achillea,aleppica,subsp.,aleppica,
67,Achillea,biebersteinii,,,Afan.
69,Achillea,conferta,,,DC.
77,Achillea,falcata,,,L.
79,Achillea,fragrantissima,,,(Forssk.) Schultz Bip.
87,Achillea,kotschyi,,,Boiss.
91,Achillea,membranacea,,,(Labili.). DC.
114,Achillea,oligocephala,,,DC. A
130,Achillea,wilhelmsii,,,C. Koch
141,Aetheorhiza,,,,Cass.
143,Aetheorhiza,bulbosa,,,(L.) Cass.
146,Ajuga,,,,L.
151,Ajuga,chasmophila,,,Davis
153,Ajuga,chia,,,Schreb.
168,Ajuga,laevigata,,,Boiss.
170,Ajuga,orientalis,,,L.
174,Ajuga,rechingeri,,,Bilik
176,Ajuga,tridactylites,,,Gingins ex Benth.
182,Alkanna,,,,Tausch
186,Alkanna,confusa,,,Sam. ex Rech. fil.
191,Alkanna,galilaea,,,Boiss.
193,Alkanna,hirsutissima,,,(Bertol.) A. DC.
197,Alkanna,kotschyana,,,DC.
199,Alkanna,leiocarpa,,,Rech. fil.
202,Alkanna,maleolens,,,Bornm.
210,Alkanna,orientalis,,,(L.) Boiss.
214,Alkanna,orientalis,subsp.,integrifolia,(Post) Mout.
220,Alkanna,prasinophylla,,,Rech. fil.
223,Alkanna,strigosa,,,Boiss. et Hohen.
229,Alkanna,tinctoria,,,Tausch
236,Ambrosia,,,,L.
238,Ambrosia,maritima,,,L.
240,Anacyclus,,,,L.
242,Anacyclus,clavatus,,,(Desf.) Pers.
245,Anacyclus,nigellifolius,,,Boiss.
247,Anacyclus,radiatus,,,Loisel.
249,Anagallis,,,,L.
251,Anagallis,arvensis,,,L.
265,Anarrhinum,,,,Desf.
267,Anarrhinum,orientale,,,Benth.
269,Anchusa,,,,L.
271,Anchusa,aegyptiaca,,,(L.) DC.
276,Anchusa,azurea,,,Mill.
281,Anchusa,barrelieri,,,(AH.) Vitm.
289,Anchusa,hybrida,,,Ten.
293,Anchusa,milleri,,,Willd.
304,Anchusa,strigosa,,,Labili.
307,Anchusa,strigosa,var.,mesopotamica,Post
309,Anchusa,tiberiadis,,,Post
313,Androsace,,,,L.
315,Androsace,maxima,,,L.
317,Androsace,multiscapa,,,Duby
319,Androsace,villosa,,,L.
321,Andryala,,,,L.
327,Andryala,integrifolia,,,L.
329,Anoplanthus,,,,Endl.
331,Anoplanthus,coccineus,,,(M. Bieb.) Walp.
335,Anthémis,,,,L.
337,Anthémis,aaronsohnii,,,Eig
341,Anthémis,altissima,,,L.
347,Anthémis,austriaca,,,Jacq.
358,Anthémis,breviradiata,,,Eig
362,Anthémis,chia,,,L.
371,Anthémis,cornucopiae,,,Boiss. Î
374,Anthémis,corymbulosa,,,Boiss.
378,Anthémis,cotula,,,L.
380,Anthémis,eretica,,,L.
383,Anthémis,eretica,subsp.,cassia,(Boiss.) Grierson
387,Anthémis,eretica,var.,discoidea,Post
393,Anthémis,didymaea,,,Mouterde
400,Anthémis,halophila,,,Boiss. et Bal.
404,Anthémis,haussknechtii,,,Boiss. et Reut.
408,Anthémis,hebronica,,,Boiss. et Ky.
414,Anthémis,hyalina,,,DC.
416,Anthémis,leucanthemifolia,,,Boiss. et Bl.
424,Anthémis,lyonnetioides,,,Boiss.
426,Anthémis,melanolepis,,,Boiss.
437,Anthémis,palestina,,,Reut. in Boiss.
448,Anthémis,pauciloba,,,Boiss.
452,Anthémis,pseudocotula,,,Boiss.
454,Anthémis,rascheyana,,,Boiss.
458,Anthémis,samuelssonii,,,Rech. fii.
461,Anthémis,scariosa,,,Banks et Sol.
465,Anthémis,secundiramea,,,Biv.
468,Anthémis,secundiramea,var.,urvilleana,DC.
472,Anthémis,tinctoria,,,L.
475,Anthémis,tinctoria,var.,discoidea,(AH.) Vahl
482,Anthémis,tripolitana,,,Boiss. et Bl.
488,Anthémis,wettsteiniana,,,Hand.-Mazz.
490,Antirrhinum,,,,L.
512,Antirrhinum,majus,,,L.
515,Antirrhinum,majus,var.,angustifolium,Chav.
521,Antirrhinum,orontium,,,L.
529,Antirrhinum,tortuosum,,,Bosc ex Chav.
546,Arbutus,,,,L.
548,Arbutus,andrachne,,,L.
550,Arbutus,unedo,,,L.
552,Arctium,,,,L. 
554,Arctium,minus,,,(Hill.) Bernh. 
558,Arctium,minus,subsp.,minus ,
560,Arctium,minus,subsp.,pubens,(Babington) Arènes 
563,Armeria,,,,Willd. 
569,Armeria,undulata,,,(Bory et Chaub.) Boiss.
574,Arnebia,,,,Forssk. 
581,Arnebia,decumbens,,,(Vent.) Coss. et Kralik 
586,Arnebia,linearifolia,,,DC.
588,Arnebia,tubata,,,(Bertol.) Sam. 
591,Artemisia,,,,L. 
593,Artemisia,annua,,,L.
595,Artemisia,arborescens,,,L. 
599,Artemisia,herba-alba,,,Asso 
601,Artemisia,monosperma,,,Del. 
603,Artemisia,scoparia,,,Waldst. et Kit. 
607,Artemisia,verlotorum,,,Lamotte 
622,Asperugo,,,,L. 
624,Asperugo,procumbens,,,L. 
626,Asperula,,,,L. 
630,Asperula,arvensis,,,L. 
645,Asperula,bargyli,,,Gombault 
647,Asperula,breviflora,,,Boiss. 
655,Asperula,glareosa,,,Ehrendorfer
657,Asperula,glomerata,,,(Bieb.) Griseb.
661,Asperula,glomerata,var.,capitata,(Labili.) Boiss.
667,Asperula,libanotica,,,Boiss.
669,Asperula,orientalis,,,Boiss. et Hoh.
675,Asperula,rivalis,,,Sibth. et Sm.
679,Asperula,setosa,,,Jaub. et Spach.
683,Asperula,stricta,,,Boiss.
692,Asteriscus,,,,Miller
694,Asteriscus,aquaticus,,,(L.) Less.
700,Asteriscus,graveolens,,,(Forssk.) Less.
705,Asteriscus,pygmaeus,,,(DC.) Coss. et Dur.
710,Asterolinon,,,,Hoffmans. et Link
714,Asterolinon,linum-stellatum,,,(L.) Duby
717,Asyneuma,,,,Griseb. et Schrenk
727,Asyneuma,rigidum,,,(Willd.) Grossh.
731,Asyneuma,rigidum,subsp.,sinaï,(A. DC.) Damboldt
735,Asyneuma,virgatum,,,(Labili.) Bornm.
738,Atractylis,,,,L.
740,Atractylis,cancellata,,,L.
742,Atractylis,carduus,,,(Forssk.) Christ
745,Atractylis,comosa,,,Sieb. ex Cass.
753,Atropa,,,,L.
755,Atropa,belladonna,,,L.
772,BallotaL. ,,,,
773,BallotaL. ,antilibanotica,,,Post 
777,BallotaL. ,damascena,,,Boiss. 
781,BallotaL. ,nigra,,,L. 
784,BallotaL. ,nigra,subsp.,uncinata,(Beg.) Patzak 
792,BallotaL. ,saxatilis,,,Sieb. ex J. et C. Presl
799,BallotaL. ,semaanica,,,Rech.  fil. 
802,BallotaL. ,undulata,,,(Fresen.) Benth.
825,Bellardia,,,,Ail.
827,Bellardia,trixago,,,(L.) AH.
830,Bellis,,,,L.
832,Bellis,annua,,,L.
834,Bellis,perennis,,,L.
836,Bellis,sylvestris,,,Cyrillo
838,Bidens,,,,L.
840,Bidens,frondosa,,,L.
842,Bidens,pilosa,,,L.
845,Bidens,pilosa,var.,radiata,Schultz Bip.
848,Bidens,tripartita,,,L.
850,Blackstonia,,,,Huds.
852,Blackstonia,acuminata,,,(Koch et Ziz) Domin
857,Blackstonia,perfoliata,,,(L.) Huds.
863,Bombycilaena,,,,(DC.) Smolj.
866,Bombycilaena,discolor,,,(Pers.) Lainz
869,Bombycilaena,erecta,,,(L.) Smolj.
872,Borago,,,,L.
878,Borago,officinalis,,,L.
880,Brunnera,,,,Stev.
882,Brunnera,orientalis,,,(Schenk) Johnst.
885,Bryonia,,,,L.
887,Bryonia,lasiocarpa,,,Mout.
889,Bryonia,multiflora,,,Boiss. et Heldr.
893,Bryonia,syriaca,,,Boiss.
914,Bungea,,,,CA. Meyer
917,Bungea,trifida,,,(Vahl) CA. Meyer
930,Caccinia,,,,Savi
932,Caccinia,macranthera,,,(Banks et Sol.) Brand
939,Calamintha,,,,Moench
941,Calamintha,betulifolia,,,Boiss. et Bal.
950,Calamintha,incana,,,(Sibth. et Smith) Boiss.
957,Calamintha,nepeta,,,(L.) Savi
962,Calamintha,origanifolia,,,(Labili.) Boiss.
967,Calamintha,rotundifolia,,,(Pers.) Benth.
972,Calamintha,vulgaris,,,(L.) Halàcsy
975,Calendula,,,,L.
977,Calendula,aegyptiaca,,,Pers.
979,Calendula,arvensis,,,L.
981,Calendula,bicolor,,,Rafin.
993,Calendula,officinalis,,,L. 
995,Calendula,palaestina,,,Boiss. 
1000,Calendula,sinuata,,,Boiss. et Gaill. 
1004,Calendula,tripterocarpa,,,Rupr. 
1006,Calhpeltis,,,,Stev.
1010,Calhpeltis,cucullaris,,,(L.) Rothm.
1014,Calhpeltis,cucullaris,fa,aperta,Boiss.
1016,Calhpeltis,factorovskyi,,,(Eig) Ehrendorfer
1026,Calystegia,,,,R. Br.
1029,Calystegia,sepium,,,(L.) R. Br.
1033,Calystegia,silvatica,,,(Kit.) Griseb.
1041,Campanula,,,,L.
1047,Campanula,camptoclada,,,Boiss.
1049,Campanula,cecilii,,,Rech. fil. et Schiman-Czeika
1054,Campanula,cymbalaria,,,Sm. in Sibth. et Sm.
1060,Campanula,damascena,,,Labili.
1062,Campanula,erinus,,,L.
1064,Campanula,euclasta,,,Boiss.
1066,Campanula,fastigiata,,,Léon Dufour in A. DC.
1072,Campanula,flaccidula,,,Vatke
1074,Campanula,hierosolymitana,,,Boiss.
1078,Campanula,kotschyana,,,"A., DC."
1081,Campanula,libanotica,,,A. DC.
1086,Campanula,peregrina,,,L.
1088,Campanula,pestalozzae,,,Boiss.
1090,Campanula,phrygia,,,Jaub. et Spach
1094,Campanula,propinqua,,,Fisch et Mey.
1102,Campanula,rapunculus,,,L. 
1110,Campanula,retrorsa,,,Labili. 
1112,Campanula,reuteriana,,,Boiss. et Bal. 
1128,Campanula,sidoniensis,,,Boiss. et Bl.
1138,Campanula,stellaris,,,Boiss. 
1140,Campanula,stricta,,,L. 
1143,Campanula,stricta,var.,libanotica,(A. DC.) Boiss. 
1147,Campanula,strigosa,,,Banks et Sol.
1151,Campanula,sulphurea,,,Boiss. 
