,page_num,binomial,country,general_loc,specific_loc
0,5.0,Scirpus mucronatus,L.,NO ITALICS,
1,5.0,Scirpus mucronatus,L.,NO ITALICS,L.
2,5.0,Scirpus mucronatus,L.,NO ITALICS,y
3,5.0,Scirpus mucronatus,L.,NO ITALICS,existaient
4,5.0,Scirpus mucronatus,L.,NO ITALICS,vers
5,5.0,Scirpus mucronatus,L.,NO ITALICS,"1890,"
6,5.0,Scirpus mucronatus,L.,NO ITALICS,apparemment
7,5.0,Scirpus mucronatus,L.,NO ITALICS,en
8,5.0,Scirpus mucronatus,L.,NO ITALICS,colonies
9,5.0,Scirpus mucronatus,L.,NO ITALICS,bien
10,5.0,Scirpus mucronatus,L.,NO ITALICS,fournies.
11,5.0,Scirpus mucronatus,L.,NO ITALICS,Avant
12,5.0,Scirpus mucronatus,L.,NO ITALICS,d'y
13,5.0,Scirpus mucronatus,L.,NO ITALICS,mettre
14,5.0,Scirpus mucronatus,L.,NO ITALICS,la
15,5.0,Scirpus mucronatus,L.,NO ITALICS,dernière
16,5.0,Scirpus mucronatus,L.,NO ITALICS,"main,"
17,5.0,Scirpus mucronatus,L.,NO ITALICS,le
18,5.0,Scirpus mucronatus,L.,NO ITALICS,Père
19,5.0,Scirpus mucronatus,L.,NO ITALICS,Vincent
20,5.0,Scirpus mucronatus,L.,NO ITALICS,avait
21,5.0,Scirpus mucronatus,L.,NO ITALICS,reçu
22,5.0,Scirpus mucronatus,L.,NO ITALICS,pour
23,5.0,Scirpus mucronatus,L.,NO ITALICS,le
24,5.0,Scirpus mucronatus,L.,NO ITALICS,compte
25,5.0,Scirpus mucronatus,L.,NO ITALICS,de
26,5.0,Scirpus mucronatus,L.,NO ITALICS,la
27,5.0,Scirpus mucronatus,L.,NO ITALICS,"Faculté,"
0,8.0,Allium azaurenum,L.,NO ITALICS,
1,8.0,Allium azaurenum,L.,NO ITALICS,L.
2,8.0,Allium azaurenum,L.,NO ITALICS,"Emberger,"
3,8.0,Allium azaurenum,L.,NO ITALICS,une
4,8.0,Allium azaurenum,L.,NO ITALICS,disposition
5,8.0,Allium azaurenum,L.,NO ITALICS,mieux
6,8.0,Allium azaurenum,L.,NO ITALICS,accordée
7,8.0,Allium azaurenum,L.,NO ITALICS,aux
8,8.0,Allium azaurenum,L.,NO ITALICS,progrès
9,8.0,Allium azaurenum,L.,NO ITALICS,récents
10,8.0,Allium azaurenum,L.,NO ITALICS,des
11,8.0,Allium azaurenum,L.,NO ITALICS,recherches
12,8.0,Allium azaurenum,L.,NO ITALICS,de
13,8.0,Allium azaurenum,L.,NO ITALICS,phylogénèse.
0,78.0,Lycopodium cernuum,L.,Mi.,Entre Nahr es Safa et 'Aïn Qa'a
1,78.0,Lycopodium cernuum,L.,Mi.,1942 et 1946
2,78.0,Lycopodium cernuum,L.,Mi.,dans une légère dépression humide. — Grès humides et suintants au-dessus d'une source
3,78.0,Lycopodium cernuum,L.,Mi.,sous Broummana
4,78.0,Lycopodium cernuum,L.,Mi.,1951 à 1954
5,78.0,Lycopodium cernuum,L.,Mi.,. — Vallon très étroit au nord de Beit Chébab
6,78.0,Lycopodium cernuum,L.,Mi.,27.III.1890. Leg. A. Torrend
7,78.0,Lycopodium cernuum,L.,Mi.,. Les deux stations de Nahr Safa et Broummana semblent s'être entièrement éteintes
0,79.0,Selaginella denticulata,L.,"ML,",Ce. Saïda
1,79.0,Selaginella denticulata,L.,"ML,",Beyrouth et environs
2,79.0,Selaginella denticulata,L.,"ML,",Nahr el Kelb
3,79.0,Selaginella denticulata,L.,"ML,",Nahr Ibra- him
4,79.0,Selaginella denticulata,L.,"ML,",Ras Chekka-Hamate
5,79.0,Selaginella denticulata,L.,"ML,",Broummana
6,79.0,Selaginella denticulata,L.,"ML,",Moukhtara
7,79.0,Selaginella denticulata,L.,"ML,",Salima
8,79.0,Selaginella denticulata,L.,"ML,",Ghazir
9,79.0,Selaginella denticulata,L.,"ML,",Tripoli
10,79.0,Selaginella denticulata,L.,'Akkar.,Base du
11,79.0,Selaginella denticulata,L.,'Akkar.,Jabal 'Aqroum
12,79.0,Selaginella denticulata,S.,NO ITALICS,"S. Non signalée. Présence presque certaine,"
13,79.0,Selaginella denticulata,S.,NO ITALICS,Ct. et
14,79.0,Selaginella denticulata,S.,NO ITALICS,Mi.
0,79.0,Isoetes hystrix,L.,'Akkar.,Prairies humides au nord de la route entre Tlail et le chemin de Menges. Bords d'un point d'eau entre Kfar Noun et Menges
1,79.0,Isoetes hystrix,S.,NO ITALICS,"S. Présence non constatée mais presque certaine, de l'autre côté de la frontière, toute proche, vers Tell Kalakh.^/ 7"
0,79.0,Isoetes olympica,S.,J-D.,Soueida-Sâlé
1,79.0,Isoetes olympica,S.,J-D.,Tell Souocar
2,79.0,Isoetes olympica,S.,J-D.,Fon ine des Bédouins
0,80.0,Equisetum maximum,L.,Ct.,Nahr-el-Aouali
1,80.0,Equisetum maximum,L.,Ct.,Hazmiyé
2,80.0,Equisetum maximum,L.,Ct.,Nahr-el-Kelb
3,80.0,Equisetum maximum,L.,Ct.,Beyrouth
4,80.0,Equisetum maximum,L.,Ct.,Tripoli
5,80.0,Equisetum maximum,L.,Mi.,Jba'a
6,80.0,Equisetum maximum,L.,Mi.,'Abey
7,80.0,Equisetum maximum,L.,Mi.,'Araya
8,80.0,Equisetum maximum,L.,Mi.,Bikfaya
9,80.0,Equisetum maximum,L.,Mm.,'Aïn Zehalta
10,80.0,Equisetum maximum,L.,Mm.,Nahr Safa
11,80.0,Equisetum maximum,L.,Mm.,Falougha
12,80.0,Equisetum maximum,L.,Mm.,Bcharré
13,80.0,Equisetum maximum,S.,Ct.,Nahr-el-Kébir
14,80.0,Equisetum maximum,S.,Ct.,E. de Lattaquié
0,80.0,Equisetum palustre,L.,Ct.,Nahr-el-Kelb
1,80.0,Equisetum palustre,L.,Ct.,au niveau des grottes
2,80.0,Equisetum palustre,L.,Mi.,Haute vallée de la même rivière sous Mayrouba
